172.21.25.1	00:08:e3:ff:fd:90	Cisco Systems, Inc
172.21.25.6	38:ea:a7:6b:c4:47	Hewlett Packard
172.21.25.10	30:e1:71:b7:6d:af	Hewlett Packard
172.21.25.11	d4:3d:7e:18:75:09	Micro-Star Int'l Co, Ltd
172.21.25.12	50:65:f3:5b:ee:c4	Hewlett Packard
172.21.25.13	98:40:bb:0e:bb:2e	Dell Inc.
172.21.25.14	d4:3d:7e:18:77:4a	Micro-Star Int'l Co, Ltd
172.21.25.15	f4:4d:30:62:3d:d8	Elitegroup Computer Systems Co.,Ltd.
172.21.25.17	98:29:a6:67:29:6c	COMPAL INFORMATION (KUNSHAN) CO., LTD.
172.21.25.19	d4:3d:7e:18:77:0a	Micro-Star Int'l Co, Ltd
172.21.25.22	f4:4d:30:66:1c:6d	Elitegroup Computer Systems Co.,Ltd.
172.21.25.23	d8:9e:f3:88:2a:57	Dell Inc.
172.21.25.24	8c:89:a5:16:1f:0e	Micro-Star INT'L CO., LTD
172.21.25.25	d8:9e:f3:85:32:1b	Dell Inc.
172.21.25.27	d8:9e:f3:88:2b:1f	Dell Inc.
172.21.25.28	f4:4d:30:61:e6:ba	Elitegroup Computer Systems Co.,Ltd.
172.21.25.30	30:9c:23:be:8f:2e	Micro-Star INTL CO., LTD.
172.21.25.46	fc:aa:14:09:00:5e	GIGA-BYTE TECHNOLOGY CO.,LTD.
172.21.25.49	f4:4d:30:66:19:8a	Elitegroup Computer Systems Co.,Ltd.
172.21.25.79	f4:4d:30:61:e6:44	Elitegroup Computer Systems Co.,Ltd.
172.21.25.80	f4:4d:30:61:e4:6b	Elitegroup Computer Systems Co.,Ltd.
172.21.25.81	f4:4d:30:61:7b:27	Elitegroup Computer Systems Co.,Ltd.
172.21.25.82	f4:4d:30:62:43:ec	Elitegroup Computer Systems Co.,Ltd.
172.21.25.127	98:10:e8:f3:68:63	Apple, Inc.
172.21.25.128	f4:4d:30:62:44:07	Elitegroup Computer Systems Co.,Ltd.
172.21.25.129	68:5b:35:8f:3d:4d	Apple, Inc.
172.21.25.131	a8:20:66:29:2c:5f	Apple, Inc.
172.21.25.132	d8:9e:f3:88:26:7b	Dell Inc.
172.21.25.134	d4:3d:7e:18:77:6e	Micro-Star Int'l Co, Ltd
172.21.25.136	f4:4d:30:61:e1:ff	Elitegroup Computer Systems Co.,Ltd.
172.21.25.137	f4:4d:30:66:1d:af	Elitegroup Computer Systems Co.,Ltd.
172.21.25.140	a8:20:66:23:be:98	Apple, Inc.
172.21.25.142	d8:9e:f3:88:2b:21	Dell Inc.
172.21.25.145	f4:4d:30:62:43:d5	Elitegroup Computer Systems Co.,Ltd.
172.21.25.146	f4:4d:30:66:1a:7b	Elitegroup Computer Systems Co.,Ltd.
172.21.25.149	d8:9e:f3:88:1f:64	Dell Inc.
172.21.25.150	f4:39:09:f3:bd:de	Hewlett Packard
172.21.25.153	d8:9e:f3:88:20:0b	Dell Inc.
172.21.25.154	fc:aa:14:15:98:94	GIGA-BYTE TECHNOLOGY CO.,LTD.
172.21.25.161	f4:4d:30:67:e3:90	Elitegroup Computer Systems Co.,Ltd.
